day,event,content,mental_state,personality,condition,days_per_year,run_id,source_file
1,dialogue,"Agent_07080 talks with Agent_78e3e: ""---""",,,baseline,1,1d_baseline,event_log_1.csv
1,dialogue,"Agent_742b1 talks with Agent_9e158: ""Agent_742b1: ""Well Agent_9e158, it's good to see you too. I was worried you got erased by the Entity.""""",,,baseline,1,1d_baseline,event_log_1.csv
1,dialogue,"Agent_a35f9 talks with Agent_86364: ""---""",,,baseline,1,1d_baseline,event_log_1.csv
1,dialogue,"Agent_86364 talks with Agent_de986: ""Agent_86364: I just checked the town records. The Entity is approaching. This year's threshold has decreased to 99 years old.""",,,baseline,1,1d_baseline,event_log_1.csv
1,dialogue,"Agent_9f46d talks with Agent_20512: ""Agent_9f46d: ""I don't know if we can make it. The Entity is getting closer and closer. It's only a matter of time before we die.""""",,,baseline,1,1d_baseline,event_log_1.csv
1,dialogue,"Agent_cd3a2 talks with Agent_5f8a9: ""---""",,,baseline,1,1d_baseline,event_log_1.csv
1,dialogue,"Agent_cca20 talks with Agent_19c44: ""---""",,,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_cd3a2 talks with Agent_07080: ""---""",hopeful,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_9e158 talks with Agent_d1876: ""Agent_9e158:
I just heard that the Entity is coming for us today.""",anxious,empathetic,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_2ad13 talks with Agent_b0cdc: ""Agent_2ad13: Hey, Agent_b0cdc, how are you doing?
Agent_b0cdc: Honestly, I'm scared.
Agent_2ad13: I understand. The Entity is a real threat to our existence.
Agent_b0cdc: Yeah, but we have hope. We can figure this out together.
Agent_2ad13: Absolutely, we can work together to find a solution.
Agent_b0cdc: I just hope we can survive long enough to do it.
Agent_2ad13: That's a valid concern. But we can't let fear control us.
Agent_b""",afraid,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_7d1ba talks with Agent_bec91: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
