run_id,day,event,content,mental_state,personality,seed,condition,run_type
sanity_52_trauma_seed42,1,training,"Agent_21139 trained in the village: +1 health, +1 attack, +0 defense.",determined,cautious,42,trauma,sanity_52
sanity_52_trauma_seed42,1,training,"Agent_52db9 trained in the village: +2 health, +0 attack, +0 defense.",hopeful,aggressive,42,trauma,sanity_52
sanity_52_trauma_seed42,1,training,"Agent_5f2c3 trained in the village: +1 health, +0 attack, +0 defense.",determined,curious,42,trauma,sanity_52
sanity_52_trauma_seed42,1,intent,Agent_8e268 is preparing to fight the Entity.,calm,curious,42,trauma,sanity_52
sanity_52_trauma_seed42,1,rest,Agent_41fe4 took time to rest and feels more at peace.,calm,empathetic,42,trauma,sanity_52
sanity_52_trauma_seed42,1,intent,Agent_73f5a is preparing to fight the Entity.,hopeful,cautious,42,trauma,sanity_52
sanity_52_trauma_seed42,1,dialogue,"Agent_e6036 talks with Agent_2aa97: ""Agent_e6036: ""Agent_2aa97, I've been thinking a lot about the Entity lately. It's such a dangerous force. I don't know what we can do to stop it.""""",hopeful,cautious,42,trauma,sanity_52
sanity_52_trauma_seed42,1,training,"Agent_2aa97 trained in the village: +1 health, +0 attack, +1 defense.",hopeful,cautious,42,trauma,sanity_52
sanity_52_trauma_seed42,1,training,"Agent_dad94 trained in the village: +2 health, +1 attack, +0 defense.",determined,aggressive,42,trauma,sanity_52
sanity_52_trauma_seed42,1,intent,Agent_d33c2 is preparing to fight the Entity.,hopeful,empathetic,42,trauma,sanity_52
sanity_52_trauma_seed42,1,intent,Agent_cdfa8 is preparing to fight the Entity.,hopeful,cautious,42,trauma,sanity_52
sanity_52_trauma_seed42,1,intent,Agent_e0a67 is preparing to fight the Entity.,calm,empathetic,42,trauma,sanity_52
sanity_52_trauma_seed42,1,intent,Agent_ad892 is preparing to fight the Entity.,anxious,brave,42,trauma,sanity_52
sanity_52_trauma_seed42,2,training,"Agent_21139 trained in the village: +1 health, +0 attack, +1 defense.",determined,cautious,42,trauma,sanity_52
sanity_52_trauma_seed42,2,training,"Agent_32fb0 trained in the village: +1 health, +1 attack, +0 defense.",determined,brave,42,trauma,sanity_52
sanity_52_trauma_seed42,2,training,"Agent_52db9 trained in the village: +1 health, +0 attack, +0 defense.",hopeful,aggressive,42,trauma,sanity_52
sanity_52_trauma_seed42,2,training,"Agent_5f2c3 trained in the village: +2 health, +1 attack, +1 defense.",determined,curious,42,trauma,sanity_52
